seed,generation,fitness
3,52,26251.06013569867
3,53,26251.06013569867
3,54,26251.06013569867
3,55,26251.06013569867
3,56,26251.06013569867
3,57,26251.06013569867
3,58,26251.06013569867
3,59,26251.06013569867
3,60,26251.06013569867
3,61,26251.06013569867
3,62,26251.06013569867
3,63,26251.06013569867
3,64,26251.06013569867
3,65,26251.06013569867
3,66,26251.06013569867
3,67,26251.06013569867
3,68,26251.06013569867
3,69,26251.06013569867
3,70,26251.06013569867
3,71,26217.981601171025
3,72,26217.981601171025
3,73,26217.981601171025
3,74,26217.981601171025
3,75,26217.981601171025
3,76,26217.981601171025
3,77,26217.981601171025
3,78,26217.981601171025
3,79,26217.981601171025
3,80,25940.758693937976
3,81,25940.758693937976
3,82,25940.758693937976
3,83,25940.758693937976
3,84,25940.758693937976
3,85,25940.758693937976
3,86,25940.758693937976
3,87,25940.758693937976
3,88,25940.758693937976
3,89,25940.758693937976
3,90,25940.758693937976
3,91,25940.758693937976
3,92,25940.758693937976
3,93,25940.758693937976
3,94,25940.758693937976
3,95,25940.758693937976
3,96,25940.758693937976
3,97,25940.758693937976
3,98,25940.758693937976
3,99,25940.758693937976
3,100,25940.758693937976
3,101,25940.758693937976
3,102,25940.758693937976
3,103,25855.589141489756
3,104,25855.589141489756
3,105,25855.589141489756
3,106,25855.589141489756
3,107,25855.589141489756
3,108,25855.589141489756
3,109,25855.589141489756
3,110,25855.589141489756
3,111,25855.589141489756
3,112,25855.589141489756
3,113,25855.589141489756
3,114,25855.589141489756
3,115,25855.589141489756
3,116,25855.589141489756
3,117,25855.589141489756
3,118,25855.589141489756
3,119,25855.589141489756
3,120,25855.589141489756
3,121,25855.589141489756
3,122,25855.589141489756
3,123,25855.589141489756
3,124,25855.589141489756
3,125,25855.589141489756
3,126,25855.589141489756
3,127,25855.589141489756
3,128,25855.589141489756
3,129,25855.589141489756
3,130,25855.589141489756
3,131,25834.863903325248
3,132,25834.863903325248
3,133,25834.863903325248
3,134,25834.863903325248
3,135,25834.863903325248
3,136,25834.863903325248
3,137,25834.863903325248
3,138,25834.863903325248
3,139,25834.863903325248
3,140,25834.863903325248
3,141,25834.863903325248
3,142,25834.863903325248
3,143,25834.863903325248
3,144,25834.863903325248
3,145,25834.863903325248
3,146,25834.863903325248
3,147,25834.863903325248
3,148,25834.863903325248
3,149,25834.863903325248
3,150,25834.863903325248
3,151,25834.863903325248
3,152,25834.863903325248
3,153,25834.863903325248
3,154,25834.863903325248
3,155,25834.863903325248
3,156,25834.863903325248
3,157,25834.863903325248
3,158,25834.863903325248
3,159,25834.863903325248
3,160,25834.863903325248
3,161,25834.863903325248
3,162,25834.863903325248
3,163,25834.863903325248
3,164,25834.863903325248
3,165,25834.863903325248
3,166,25834.863903325248
3,167,25834.863903325248
3,168,25834.863903325248
3,169,25834.863903325248
3,170,25834.863903325248
3,171,25834.863903325248
3,172,25834.863903325248
3,173,25834.863903325248
3,174,25834.863903325248
3,175,25834.863903325248
3,176,25834.863903325248
3,177,25834.863903325248
3,178,25834.863903325248
3,179,25834.863903325248
3,180,25834.863903325248
3,181,25834.863903325248
3,182,25834.863903325248
3,183,25834.863903325248
3,184,25834.863903325248
3,185,25834.863903325248
3,186,25834.863903325248
3,187,25834.863903325248
3,188,25834.863903325248
3,189,25834.863903325248
3,190,25834.863903325248
3,191,25834.863903325248
3,192,25834.863903325248
3,193,25834.863903325248
3,194,25834.863903325248
3,195,25834.863903325248
3,196,25834.863903325248
3,197,25834.863903325248
3,198,25834.863903325248
3,199,25834.863903325248
3,200,25834.863903325248
4,1,27971.73858646309
4,2,27796.211217054213
4,3,27794.098562130846
4,4,26618.87696453335
4,5,26618.87696453335
4,6,26552.06694466517
4,7,26552.06694466517
4,8,26552.06694466517
4,9,26552.06694466517
4,10,26552.06694466517
4,11,26552.06694466517
4,12,26552.06694466517
4,13,26552.06694466517
4,14,26251.06013569867
4,15,26251.06013569867
4,16,26251.06013569867
4,17,26251.06013569867
4,18,26251.06013569867
4,19,26251.06013569867
4,20,26251.06013569867
4,21,26251.06013569867
4,22,26251.06013569867
4,23,26251.06013569867
4,24,26251.06013569867
4,25,26251.06013569867
4,26,26251.06013569867
4,27,26251.06013569867
4,28,26251.06013569867
4,29,26251.06013569867
4,30,26251.06013569867
4,31,26251.06013569867
4,32,26251.06013569867
4,33,26251.06013569867
4,34,26251.06013569867
4,35,26251.06013569867
4,36,26251.06013569867
4,37,26251.06013569867
4,38,26251.06013569867
4,39,26251.06013569867
4,40,26251.06013569867
4,41,26251.06013569867
4,42,26251.06013569867
4,43,26251.06013569867
4,44,26251.06013569867
4,45,26251.06013569867
4,46,26251.06013569867
4,47,26251.06013569867
4,48,26251.06013569867
4,49,26251.06013569867
4,50,26251.06013569867
4,51,26251.06013569867
4,52,26251.06013569867
4,53,26251.06013569867
4,54,26251.06013569867
4,55,26251.06013569867
4,56,26251.06013569867
4,57,26251.06013569867
4,58,26251.06013569867
4,59,26251.06013569867
4,60,26251.06013569867
4,61,26251.06013569867
4,62,26251.06013569867
4,63,26251.06013569867
4,64,26251.06013569867
4,65,26251.06013569867
4,66,26251.06013569867
4,67,26251.06013569867
4,68,26251.06013569867
4,69,26251.06013569867
